id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,assetType
1,2023-11-23T09:27:03,2023-11-23T09:27:03.015,john.karasoulos@oracle.com,john.karasoulos@oracle.com,airplane
2,2023-11-23T09:27:40,2023-11-23T09:27:40.008,john.karasoulos@oracle.com,john.karasoulos@oracle.com,"Standard practices, Airframe systems"
3,2023-11-23T09:27:53,2023-11-23T09:27:53.005,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Environmental control
4,2023-11-23T09:28:05,2023-11-23T09:28:05.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Auto flight
5,2023-11-23T09:28:15,2023-11-23T09:28:15.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Communications
6,2023-11-23T09:28:25,2023-11-23T09:28:25.007,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Electrical power
7,2023-11-23T09:28:33,2023-11-23T09:28:33.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Equipment/furnishings
8,2023-11-23T09:28:57,2023-11-23T09:28:57.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Fire protection
9,2023-11-23T09:29:04,2023-11-23T09:29:04.009,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Flight controls
10,2023-11-23T09:29:54,2023-11-23T09:29:54.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Fuel
11,2023-11-23T09:30:03,2023-11-23T09:30:03.012,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Hydraulic power
12,2023-11-23T09:30:14,2023-11-23T09:30:14.005,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Ice and rain protection
13,2023-11-23T09:30:23,2023-11-23T09:30:23.007,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Indicating/recording systems
14,2023-11-23T09:30:31,2023-11-23T09:30:31.031,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Landing gear
15,2023-11-23T09:30:40,2023-11-23T09:30:40.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Lights
16,2023-11-23T09:30:47,2023-11-23T09:30:47.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Navigation
17,2023-11-23T09:30:55,2023-11-23T09:30:55.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Oxygen
18,2023-11-23T09:31:02,2023-11-23T09:31:02.006,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Pneumatic
19,2023-11-23T09:31:09,2023-11-23T09:31:09.007,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Vacuum
20,2023-11-23T09:31:17,2023-11-23T09:31:17.012,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Water/waste
21,2023-11-23T09:31:23,2023-11-23T09:31:23.008,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Attack system management
22,2023-11-23T09:31:30,2023-11-23T09:31:30.011,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Operational attack functions
23,2023-11-23T09:31:36,2023-11-23T09:31:36.014,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Water ballast
24,2023-11-23T09:31:43,2023-11-23T09:31:43.005,john.karasoulos@oracle.com,john.karasoulos@oracle.com,Cross-technical attack functions
